Name                  ,Method  ,URL
DatabaseSetup         ,PUT     ,/api/setup/database
CategorySetup         ,PUT     ,/api/setup/category
ItemSetup             ,PUT     ,/api/setup/item
LocationCategorySetup ,PUT     ,/api/setup/location-category
LocationNamesSetup    ,PUT     ,/api/setup/location-name
InsertTempData        ,PUT     ,/api/setup/temp-data
FullSetup             ,PUT     ,/api/setup/full
Items                 ,GET     ,/api/items
Categories            ,GET     ,/api/categories
LocationCategories    ,GET     ,/api/location-categories
LocationNames         ,GET     ,/api/location-names


Visualize             ,GET     ,/api/visualize
Items                 ,POST    ,/api/items
LocationNames         ,POST    ,/api/location-names
